Dia;Mes;Año;Temperatura media;Humedad media;Rocío medio;Presión media;Velocidad media;Racha media;Dirección media;Precipitación mensual;Precipitación anual;Intensidad máxima por minuto;Temperatura máxima;Temperatura mínima;Humedad máxima;Humedad mínima;Presión máxima;Presión mínima;Velocidad media máxima;Racha máxima
2;Abril;2018;12.2°C;63%;4.9°C;1007.3 hPa;1.5 km/h;4.3 km/h;160° (SSE);1.4 mm;189.4 mm;0.2 mm el 02 a las 22:00;18.2°C el 02 a las 17:33;6.1°C el 02 a las 07:24;91% el 02 a las 23:12;40% el 02 a las 19:08;1010.4 hPa el 02 a las 00:36;1004.5 hPa el 02 a las 18:39;14.8 km/h el 02 a las 21:41;29.6 km/h  del 265°(O) el 02 a las 21:39
3;Abril;2018;11.5°C;77%;7.3°C;1006.6 hPa;3.5 km/h;9.9 km/h;176° (S);2.0 mm;190.0 mm;0.2 mm el 03 a las 01:03;15.5°C el 03 a las 17:26;8.7°C el 03 a las 08:06;93% el 03 a las 06:19;47% el 03 a las 17:47;1007.9 hPa el 03 a las 23:59;1005.4 hPa el 03 a las 18:41;24.1 km/h el 03 a las 13:39;44.4 km/h  del 163°(SSE) el 03 a las 16:59
4;Abril;2018;10.1°C;77%;6.1°C;1013.0 hPa;3.0 km/h;9.0 km/h;219° (SO);2.0 mm;190.0 mm;0.0 mm el 04 a las 23:59;15.1°C el 04 a las 17:35;6.4°C el 04 a las 05:54;90% el 04 a las 07:17;58% el 04 a las 17:43;1019.1 hPa el 04 a las 23:59;1007.9 hPa el 04 a las 00:03;11.1 km/h el 04 a las 17:05;35.2 km/h  del 223°(SO) el 04 a las 14:53
5;Abril;2018;11.4°C;66%;4.7°C;1017.9 hPa;0.8 km/h;2.4 km/h;233° (SO);2.0 mm;190.0 mm;0.0 mm el 05 a las 23:59;18.1°C el 05 a las 17:58;3.4°C el 05 a las 08:08;91% el 05 a las 09:11;41% el 05 a las 17:32;1020.9 hPa el 05 a las 10:36;1013.9 hPa el 05 a las 23:58;9.3 km/h el 05 a las 03:44;18.5 km/h  del 281°(O) el 05 a las 03:45
6;Abril;2018;11.0°C;76%;6.6°C;1009.4 hPa;0.5 km/h;1.7 km/h;135° (SE);5.0 mm;193.0 mm;0.2 mm el 06 a las 19:58;17.0°C el 06 a las 14:33;6.1°C el 06 a las 07:38;94% el 06 a las 23:48;52% el 06 a las 13:57;1014.0 hPa el 06 a las 00:02;1005.1 hPa el 06 a las 20:18;11.1 km/h el 06 a las 15:04;20.4 km/h  del 113°(ESE) el 06 a las 14:51
7;Abril;2018;8.8°C;88%;6.8°C;1006.3 hPa;0.7 km/h;2.8 km/h;193° (SSO);6.2 mm;194.2 mm;0.2 mm el 07 a las 13:55;12.2°C el 07 a las 00:21;7.0°C el 07 a las 07:42;93% el 07 a las 15:34;74% el 07 a las 19:17;1007.9 hPa el 07 a las 23:17;1005.2 hPa el 07 a las 07:20;11.1 km/h el 07 a las 18:01;20.4 km/h  del 160°(SSE) el 07 a las 18:00
8;Abril;2018;9.3°C;78%;5.4°C;1007.5 hPa;1.8 km/h;5.6 km/h;237° (OSO);6.4 mm;194.4 mm;0.2 mm el 08 a las 00:19;15.0°C el 08 a las 16:40;4.9°C el 08 a las 08:32;100% el 08 a las 08:03;52% el 08 a las 16:27;1008.9 hPa el 08 a las 11:56;1006.0 hPa el 08 a las 21:05;14.8 km/h el 08 a las 17:33;33.3 km/h  del 161°(SSE) el 08 a las 17:32
9;Abril;2018;5.6°C;88%;3.7°C;1007.7 hPa;2.0 km/h;6.7 km/h;201° (SSO);10.0 mm;198.0 mm;0.2 mm el 09 a las 18:48;9.4°C el 09 a las 00:02;3.6°C el 09 a las 07:03;97% el 09 a las 03:31;75% el 09 a las 18:03;1009.7 hPa el 09 a las 23:48;1005.4 hPa el 09 a las 03:40;14.8 km/h el 09 a las 14:33;31.5 km/h  del 196°(SSO) el 09 a las 16:12
10;Abril;2018;5.6°C;92%;4.4°C;1000.6 hPa;3.3 km/h;9.3 km/h;184° (S);26.0 mm;214.0 mm;0.2 mm el 10 a las 20:34;6.8°C el 10 a las 19:05;2.9°C el 10 a las 20:26;95% el 10 a las 15:49;88% el 10 a las 20:03;1009.8 hPa el 10 a las 00:10;993.6 hPa el 10 a las 19:12;18.5 km/h el 10 a las 19:57;37.0 km/h  del 146°(SE) el 10 a las 10:15
11;Abril;2018;6.2°C;75%;1.8°C;999.7 hPa;7.2 km/h;14.1 km/h;276° (O);26.0 mm;214.0 mm;0.0 mm el 11 a las 23:59;9.9°C el 11 a las 18:47;2.4°C el 11 a las 03:32;92% el 11 a las 03:48;58% el 11 a las 18:31;1004.1 hPa el 11 a las 23:49;995.8 hPa el 11 a las 04:00;24.1 km/h el 11 a las 11:11;44.4 km/h  del 291°(ONO) el 11 a las 10:45
12;Abril;2018;7.8°C;82%;4.7°C;1003.0 hPa;2.9 km/h;7.6 km/h;204° (SSO);33.4 mm;221.4 mm;0.2 mm el 12 a las 23:53;11.5°C el 12 a las 14:38;4.2°C el 12 a las 08:20;93% el 12 a las 23:59;61% el 12 a las 14:12;1005.2 hPa el 12 a las 11:35;1000.4 hPa el 12 a las 20:15;14.8 km/h el 12 a las 10:54;29.6 km/h  del 167°(SSE) el 12 a las 15:23
13;Abril;2018;8.4°C;80%;4.8°C;1005.9 hPa;1.4 km/h;4.7 km/h;198° (SSO);35.0 mm;223.0 mm;0.2 mm el 13 a las 07:17;13.7°C el 13 a las 19:31;4.2°C el 13 a las 08:37;95% el 13 a las 10:26;54% el 13 a las 19:30;1012.4 hPa el 13 a las 23:59;1000.6 hPa el 13 a las 00:57;13.0 km/h el 13 a las 14:30;24.1 km/h  del 171°(S) el 13 a las 14:09
14;Abril;2018;10.2°C;73%;5.0°C;1015.6 hPa;0.6 km/h;2.0 km/h;256° (OSO);35.0 mm;223.0 mm;0.0 mm el 14 a las 23:59;17.0°C el 14 a las 18:00;3.3°C el 14 a las 08:25;95% el 14 a las 09:21;46% el 14 a las 18:23;1017.8 hPa el 14 a las 23:59;1012.4 hPa el 14 a las 00:07;9.3 km/h el 14 a las 18:21;16.7 km/h  del 166°(SSE) el 14 a las 19:02
15;Abril;2018;12.3°C;79%;8.8°C;1015.4 hPa;1.5 km/h;5.3 km/h;184° (S);40.2 mm;228.2 mm;0.4 mm el 15 a las 23:02;17.2°C el 15 a las 14:51;8.8°C el 15 a las 08:24;93% el 15 a las 23:59;60% el 15 a las 14:03;1017.8 hPa el 15 a las 00:21;1012.0 hPa el 15 a las 23:59;13.0 km/h el 15 a las 17:09;25.9 km/h  del 224°(SO) el 15 a las 17:16
16;Abril;2018;11.3°C;72%;6.1°C;1016.5 hPa;4.6 km/h;9.5 km/h;281° (O);46.4 mm;234.4 mm;0.6 mm el 16 a las 00:27;17.3°C el 16 a las 18:12;6.3°C el 16 a las 06:09;93% el 16 a las 01:35;47% el 16 a las 16:48;1020.8 hPa el 16 a las 23:59;1012.0 hPa el 16 a las 00:00;20.4 km/h el 16 a las 11:36;33.3 km/h  del 278°(O) el 16 a las 10:43
17;Abril;2018;13.4°C;68%;6.7°C;1022.9 hPa;0.4 km/h;1.5 km/h;160° (SSE);46.4 mm;234.4 mm;0.0 mm el 17 a las 23:59;21.4°C el 17 a las 19:13;5.3°C el 17 a las 07:13;93% el 17 a las 08:42;38% el 17 a las 17:46;1024.7 hPa el 17 a las 11:28;1020.7 hPa el 17 a las 00:05;7.4 km/h el 17 a las 15:50;14.8 km/h  del 154°(SSE) el 17 a las 16:20
18;Abril;2018;16.6°C;61%;8.2°C;1022.2 hPa;0.6 km/h;2.4 km/h;143° (SE);46.4 mm;234.4 mm;0.0 mm el 18 a las 23:55;24.4°C el 18 a las 18:59;8.3°C el 18 a las 08:09;91% el 18 a las 07:26;34% el 18 a las 20:09;1023.8 hPa el 18 a las 09:40;1020.1 hPa el 18 a las 21:25;7.4 km/h el 18 a las 16:52;18.5 km/h  del 183°(S) el 18 a las 16:51
19;Abril;2018;17.3°C;51%;6.6°C;1020.1 hPa;1.9 km/h;5.1 km/h;122° (ESE);46.4 mm;234.4 mm;0.0 mm el 19 a las 23:59;23.1°C el 19 a las 17:43;9.6°C el 19 a las 08:22;76% el 19 a las 08:40;35% el 19 a las 17:03;1022.4 hPa el 19 a las 02:42;1017.1 hPa el 19 a las 20:06;11.1 km/h el 19 a las 22:12;25.9 km/h  del 127°(SE) el 19 a las 23:59
20;Abril;2018;16.1°C;59%;7.7°C;1018.1 hPa;3.0 km/h;7.2 km/h;124° (SE);46.4 mm;234.4 mm;0.0 mm el 20 a las 23:59;21.1°C el 20 a las 18:02;11.1°C el 20 a las 08:39;79% el 20 a las 09:20;42% el 20 a las 18:03;1019.7 hPa el 20 a las 03:17;1015.3 hPa el 20 a las 18:45;14.8 km/h el 20 a las 17:32;27.8 km/h  del 126°(SE) el 20 a las 20:03
21;Abril;2018;14.6°C;66%;8.1°C;1017.4 hPa;1.0 km/h;3.1 km/h;26° (NNE);46.4 mm;234.4 mm;0.0 mm el 21 a las 23:59;19.4°C el 21 a las 18:55;10.1°C el 21 a las 08:07;79% el 21 a las 08:24;53% el 21 a las 19:03;1019.1 hPa el 21 a las 02:24;1015.2 hPa el 21 a las 20:14;9.3 km/h el 21 a las 17:14;18.5 km/h  del 015°(NNE) el 21 a las 14:46
22;Abril;2018;16.6°C;63%;9.0°C;1015.3 hPa;0.6 km/h;2.0 km/h;22° (NNE);46.4 mm;234.4 mm;0.0 mm el 22 a las 23:59;22.9°C el 22 a las 19:23;10.8°C el 22 a las 05:58;85% el 22 a las 05:56;40% el 22 a las 14:26;1017.6 hPa el 22 a las 02:45;1012.3 hPa el 22 a las 17:47;7.4 km/h el 22 a las 14:35;18.5 km/h  del 346°(NNO) el 22 a las 12:43
23;Abril;2018;17.6°C;61%;9.6°C;1015.9 hPa;1.2 km/h;3.2 km/h;26° (NNE);46.4 mm;234.4 mm;0.0 mm el 23 a las 23:59;24.2°C el 23 a las 18:23;12.8°C el 23 a las 08:23;79% el 23 a las 04:11;42% el 23 a las 18:42;1017.3 hPa el 23 a las 10:41;1014.2 hPa el 23 a las 20:16;7.4 km/h el 23 a las 16:04;18.5 km/h  del 348°(NNO) el 23 a las 11:34
24;Abril;2018;18.8°C;57%;9.2°C;1015.2 hPa;0.8 km/h;2.4 km/h;36° (NE);46.4 mm;234.4 mm;0.0 mm el 24 a las 23:59;25.9°C el 24 a las 18:13;11.4°C el 24 a las 08:07;83% el 24 a las 08:50;30% el 24 a las 17:39;1016.6 hPa el 24 a las 04:48;1013.3 hPa el 24 a las 19:34;9.3 km/h el 24 a las 14:40;18.5 km/h  del 121°(ESE) el 24 a las 17:59
25;Abril;2018;20.1°C;49%;8.1°C;1014.2 hPa;1.5 km/h;3.8 km/h;77° (ENE);46.4 mm;234.4 mm;0.0 mm el 25 a las 23:59;28.0°C el 25 a las 17:54;11.6°C el 25 a las 06:23;73% el 25 a las 06:14;26% el 25 a las 20:20;1016.2 hPa el 25 a las 07:58;1011.4 hPa el 25 a las 20:13;13.0 km/h el 25 a las 18:18;25.9 km/h  del 317°(NO) el 25 a las 17:55
26;Abril;2018;18.7°C;55%;9.1°C;1014.0 hPa;0.9 km/h;3.2 km/h;150° (SSE);46.4 mm;234.4 mm;0.0 mm el 26 a las 23:56;25.6°C el 26 a las 19:13;10.6°C el 26 a las 07:09;83% el 26 a las 07:13;37% el 26 a las 16:33;1016.3 hPa el 26 a las 00:27;1011.3 hPa el 26 a las 20:52;13.0 km/h el 26 a las 18:36;24.1 km/h  del 165°(SSE) el 26 a las 17:52
27;Abril;2018;18.0°C;60%;9.3°C;1010.0 hPa;1.4 km/h;4.8 km/h;205° (SSO);46.4 mm;234.4 mm;0.0 mm el 27 a las 23:59;23.3°C el 27 a las 16:48;12.6°C el 27 a las 08:11;89% el 27 a las 08:31;31% el 27 a las 16:06;1012.0 hPa el 27 a las 00:52;1008.3 hPa el 27 a las 20:36;11.1 km/h el 27 a las 19:06;25.9 km/h  del 153°(SSE) el 27 a las 19:05
28;Abril;2018;12.9°C;63%;5.7°C;1007.9 hPa;2.2 km/h;7.3 km/h;176° (S);46.4 mm;234.4 mm;0.0 mm el 28 a las 23:59;17.2°C el 28 a las 15:42;9.3°C el 28 a las 23:59;82% el 28 a las 08:04;39% el 28 a las 15:42;1009.6 hPa el 28 a las 00:06;1006.3 hPa el 28 a las 21:19;18.5 km/h el 28 a las 15:51;33.3 km/h  del 235°(SO) el 28 a las 15:22
29;Abril;2018;7.6°C;80%;4.2°C;1008.7 hPa;2.1 km/h;6.5 km/h;230° (SO);55.6 mm;243.6 mm;0.2 mm el 29 a las 17:20;11.4°C el 29 a las 19:40;3.2°C el 29 a las 08:23;94% el 29 a las 13:15;62% el 29 a las 19:46;1014.9 hPa el 29 a las 23:59;1005.2 hPa el 29 a las 06:14;13.0 km/h el 29 a las 17:23;31.5 km/h  del 320°(NO) el 29 a las 16:49
1;Mayo;2018;9.5°C;63%;2.1°C;1015.0 hPa;0.8 km/h;2.4 km/h;277° (O);0.0 mm;246.6 mm;0.0 mm el 01 a las 00:00;16.0°C el 01 a las 19:52;4.1°C el 01 a las 07:46;92% el 01 a las 05:34;37% el 01 a las 20:33;1016.4 hPa el 01 a las 11:40;1013.1 hPa el 01 a las 19:35;9.3 km/h el 01 a las 18:56;25.9 km/h  del 207°(SSO) el 01 a las 17:52
2;Mayo;2018;11.6°C;56%;2.7°C;1014.2 hPa;1.5 km/h;4.2 km/h;259° (OSO);0.0 mm;246.6 mm;0.0 mm el 02 a las 23:59;17.3°C el 02 a las 18:35;5.5°C el 02 a las 07:49;76% el 02 a las 07:52;36% el 02 a las 18:39;1015.1 hPa el 02 a las 23:59;1013.2 hPa el 02 a las 18:03;14.8 km/h el 02 a las 19:38;25.9 km/h  del 275°(O) el 02 a las 18:38
3;Mayo;2018;13.6°C;60%;5.6°C;1013.5 hPa;2.3 km/h;5.0 km/h;302° (ONO);0.0 mm;246.6 mm;0.0 mm el 03 a las 23:59;18.9°C el 03 a las 17:48;9.6°C el 03 a las 04:32;82% el 03 a las 07:07;30% el 03 a las 18:00;1015.5 hPa el 03 a las 01:09;1011.5 hPa el 03 a las 17:37;18.5 km/h el 03 a las 13:19;31.5 km/h  del 275°(O) el 03 a las 13:26
4;Mayo;2018;12.9°C;55%;3.6°C;1013.5 hPa;1.5 km/h;3.8 km/h;0° (N);0.0 mm;246.6 mm;0.0 mm el 04 a las 23:59;21.3°C el 04 a las 19:08;4.4°C el 04 a las 07:55;79% el 04 a las 07:57;34% el 04 a las 18:23;1014.9 hPa el 04 a las 23:57;1012.1 hPa el 04 a las 19:06;9.3 km/h el 04 a las 16:56;20.4 km/h  del 078°(ENE) el 04 a las 11:23
5;Mayo;2018;16.1°C;57%;7.2°C;1014.2 hPa;1.2 km/h;3.8 km/h;345° (NNO);0.4 mm;247.0 mm;0.2 mm el 05 a las 23:15;24.0°C el 05 a las 18:08;7.9°C el 05 a las 07:32;80% el 05 a las 07:42;36% el 05 a las 19:16;1015.5 hPa el 05 a las 08:55;1012.1 hPa el 05 a las 19:23;16.7 km/h el 05 a las 23:17;29.6 km/h  del 161°(SSE) el 05 a las 23:28
6;Mayo;2018;17.0°C;66%;9.9°C;1015.1 hPa;0.9 km/h;2.6 km/h;126° (SE);2.4 mm;249.0 mm;0.2 mm el 06 a las 23:30;23.9°C el 06 a las 19:47;9.9°C el 06 a las 07:44;93% el 06 a las 08:39;37% el 06 a las 20:34;1017.2 hPa el 06 a las 09:54;1012.2 hPa el 06 a las 19:29;9.3 km/h el 06 a las 21:21;20.4 km/h  del 111°(ESE) el 06 a las 21:21
7;Mayo;2018;16.2°C;76%;11.5°C;1014.0 hPa;1.1 km/h;2.5 km/h;49° (NE);3.2 mm;249.8 mm;0.2 mm el 07 a las 21:28;23.6°C el 07 a las 18:58;10.5°C el 07 a las 07:37;95% el 07 a las 08:38;45% el 07 a las 19:32;1015.5 hPa el 07 a las 00:03;1011.0 hPa el 07 a las 19:08;11.1 km/h el 07 a las 19:59;22.2 km/h  del 355°(N) el 07 a las 14:51
8;Mayo;2018;17.5°C;70%;11.4°C;1010.8 hPa;0.9 km/h;2.2 km/h;319° (NO);3.6 mm;250.2 mm;0.2 mm el 08 a las 08:07;24.8°C el 08 a las 19:51;10.9°C el 08 a las 08:00;94% el 08 a las 09:27;40% el 08 a las 16:32;1013.0 hPa el 08 a las 00:01;1008.3 hPa el 08 a las 19:33;11.1 km/h el 08 a las 20:13;18.5 km/h  del 023°(NNE) el 08 a las 20:22
9;Mayo;2018;18.4°C;64%;10.9°C;1008.9 hPa;1.7 km/h;4.0 km/h;305° (NO);3.6 mm;250.2 mm;0.0 mm el 09 a las 23:59;25.7°C el 09 a las 18:23;11.0°C el 09 a las 07:59;88% el 09 a las 08:23;35% el 09 a las 18:15;1010.9 hPa el 09 a las 01:09;1006.5 hPa el 09 a las 17:57;13.0 km/h el 09 a las 20:29;22.2 km/h  del 298°(ONO) el 09 a las 20:28
10;Mayo;2018;18.7°C;58%;9.9°C;1011.7 hPa;1.6 km/h;4.4 km/h;316° (NO);3.6 mm;250.2 mm;0.0 mm el 10 a las 23:59;25.0°C el 10 a las 18:27;12.7°C el 10 a las 08:17;77% el 10 a las 08:25;39% el 10 a las 18:28;1013.7 hPa el 10 a las 23:32;1008.8 hPa el 10 a las 02:44;14.8 km/h el 10 a las 02:18;29.6 km/h  del 279°(O) el 10 a las 02:09
11;Mayo;2018;17.8°C;64%;10.4°C;1014.3 hPa;0.9 km/h;2.9 km/h;208° (SSO);3.6 mm;250.2 mm;0.0 mm el 11 a las 23:59;24.2°C el 11 a las 18:11;10.4°C el 11 a las 07:34;82% el 11 a las 07:42;41% el 11 a las 17:29;1016.0 hPa el 11 a las 11:22;1012.6 hPa el 11 a las 19:33;13.0 km/h el 11 a las 17:13;22.2 km/h  del 146°(SE) el 11 a las 16:21
12;Mayo;2018;14.9°C;57%;5.9°C;1013.3 hPa;5.9 km/h;11.3 km/h;289° (ONO);3.6 mm;250.2 mm;0.0 mm el 12 a las 23:59;19.0°C el 12 a las 15:27;11.1°C el 12 a las 23:59;79% el 12 a las 05:16;33% el 12 a las 17:07;1016.7 hPa el 12 a las 23:59;1012.1 hPa el 12 a las 06:20;20.4 km/h el 12 a las 18:47;33.3 km/h  del 322°(NO) el 12 a las 19:10
13;Mayo;2018;11.5°C;46%;0.0°C;1019.7 hPa;6.9 km/h;12.8 km/h;296° (ONO);3.6 mm;250.2 mm;0.0 mm el 13 a las 23:59;16.8°C el 13 a las 18:09;5.6°C el 13 a las 07:16;65% el 13 a las 07:30;33% el 13 a las 18:11;1021.3 hPa el 13 a las 11:52;1016.7 hPa el 13 a las 00:02;16.7 km/h el 13 a las 19:40;33.3 km/h  del 296°(ONO) el 13 a las 12:27
14;Mayo;2018;14.0°C;55%;4.8°C;1018.3 hPa;4.4 km/h;8.5 km/h;304° (NO);3.6 mm;250.2 mm;0.0 mm el 14 a las 23:59;18.4°C el 14 a las 17:54;10.0°C el 14 a las 07:07;71% el 14 a las 09:11;37% el 14 a las 18:46;1020.3 hPa el 14 a las 02:12;1016.8 hPa el 14 a las 20:50;16.7 km/h el 14 a las 04:44;25.9 km/h  del 288°(ONO) el 14 a las 04:49
15;Mayo;2018;15.0°C;50%;4.1°C;1017.1 hPa;1.2 km/h;3.2 km/h;338° (NNO);3.6 mm;250.2 mm;0.0 mm el 15 a las 23:59;23.1°C el 15 a las 19:53;4.8°C el 15 a las 07:38;80% el 15 a las 07:36;34% el 15 a las 14:50;1019.4 hPa el 15 a las 08:12;1013.6 hPa el 15 a las 20:30;7.4 km/h el 15 a las 19:19;18.5 km/h  del 324°(NO) el 15 a las 16:14
16;Mayo;2018;18.2°C;50%;7.1°C;1013.8 hPa;1.3 km/h;4.1 km/h;2° (N);3.6 mm;250.2 mm;0.0 mm el 16 a las 23:59;25.4°C el 16 a las 20:38;11.3°C el 16 a las 07:49;69% el 16 a las 08:13;30% el 16 a las 20:42;1016.2 hPa el 16 a las 01:47;1010.6 hPa el 16 a las 20:07;7.4 km/h el 16 a las 14:02;18.5 km/h  del 010°(N) el 16 a las 03:32
17;Mayo;2018;18.3°C;48%;6.6°C;1012.5 hPa;1.1 km/h;3.0 km/h;137° (SE);3.6 mm;250.2 mm;0.0 mm el 17 a las 23:59;24.6°C el 17 a las 17:42;11.1°C el 17 a las 08:06;72% el 17 a las 08:18;31% el 17 a las 18:18;1014.0 hPa el 17 a las 08:49;1009.9 hPa el 17 a las 19:33;9.3 km/h el 17 a las 20:36;18.5 km/h  del 05°(N) el 17 a las 23:48
18;Mayo;2018;16.6°C;65%;9.8°C;1013.6 hPa;1.5 km/h;4.3 km/h;357° (N);3.8 mm;250.4 mm;0.2 mm el 18 a las 17:16;22.0°C el 18 a las 15:08;13.1°C el 18 a las 07:33;78% el 18 a las 07:51;43% el 18 a las 14:35;1015.3 hPa el 18 a las 23:59;1012.5 hPa el 18 a las 15:15;9.3 km/h el 18 a las 18:59;22.2 km/h  del 167°(SSE) el 18 a las 16:54
19;Mayo;2018;16.7°C;69%;10.6°C;1014.7 hPa;1.0 km/h;2.2 km/h;329° (NNO);6.8 mm;253.4 mm;0.4 mm el 19 a las 16:03;23.2°C el 19 a las 15:17;10.7°C el 19 a las 07:17;88% el 19 a las 08:02;43% el 19 a las 14:57;1016.2 hPa el 19 a las 10:53;1012.9 hPa el 19 a las 20:18;13.0 km/h el 19 a las 15:52;24.1 km/h  del 286°(ONO) el 19 a las 15:31
20;Mayo;2018;17.0°C;62%;9.4°C;1012.5 hPa;0.6 km/h;2.2 km/h;14° (NNE);6.8 mm;253.4 mm;0.0 mm el 20 a las 23:59;22.0°C el 20 a las 17:27;12.1°C el 20 a las 07:49;82% el 20 a las 08:29;40% el 20 a las 18:43;1014.9 hPa el 20 a las 01:57;1009.4 hPa el 20 a las 19:14;7.4 km/h el 20 a las 18:16;18.5 km/h  del 023°(NNE) el 20 a las 01:49
21;Mayo;2018;17.4°C;66%;10.5°C;1010.0 hPa;1.1 km/h;3.1 km/h;229° (SO);6.8 mm;253.4 mm;0.0 mm el 21 a las 23:59;23.5°C el 21 a las 19:47;12.3°C el 21 a las 06:55;86% el 21 a las 08:20;42% el 21 a las 19:19;1011.4 hPa el 21 a las 23:53;1008.1 hPa el 21 a las 17:12;13.0 km/h el 21 a las 17:28;24.1 km/h  del 163°(SSE) el 21 a las 17:28
22;Mayo;2018;16.8°C;74%;11.9°C;1012.2 hPa;0.6 km/h;1.6 km/h;193° (SSO);8.2 mm;254.8 mm;0.2 mm el 22 a las 15:17;22.4°C el 22 a las 13:47;11.2°C el 22 a las 07:24;93% el 22 a las 08:05;52% el 22 a las 14:19;1014.2 hPa el 22 a las 23:59;1011.0 hPa el 22 a las 05:53;11.1 km/h el 22 a las 15:07;18.5 km/h  del 313°(NO) el 22 a las 15:06
23;Mayo;2018;18.6°C;69%;12.0°C;1013.7 hPa;1.0 km/h;2.6 km/h;209° (SSO);8.6 mm;255.2 mm;0.2 mm el 23 a las 20:28;26.0°C el 23 a las 18:14;12.2°C el 23 a las 07:35;92% el 23 a las 05:28;38% el 23 a las 18:43;1015.1 hPa el 23 a las 08:38;1011.1 hPa el 23 a las 19:07;22.2 km/h el 23 a las 19:43;51.8 km/h  del 175°(S) el 23 a las 19:44
24;Mayo;2018;19.0°C;68%;12.1°C;1011.6 hPa;1.4 km/h;3.6 km/h;116° (ESE);12.0 mm;258.6 mm;0.6 mm el 24 a las 21:33;26.8°C el 24 a las 17:26;13.8°C el 24 a las 04:06;91% el 24 a las 04:07;35% el 24 a las 18:10;1014.2 hPa el 24 a las 05:05;1006.7 hPa el 24 a las 20:01;14.8 km/h el 24 a las 18:47;22.2 km/h  del 117°(ESE) el 24 a las 20:19
25;Mayo;2018;14.3°C;88%;12.1°C;1011.1 hPa;0.9 km/h;2.7 km/h;281° (O);48.2 mm;294.8 mm;1.0 mm el 25 a las 02:38;20.1°C el 25 a las 18:02;12.2°C el 25 a las 11:34;95% el 25 a las 12:31;57% el 25 a las 18:16;1013.0 hPa el 25 a las 03:12;1008.3 hPa el 25 a las 05:15;11.1 km/h el 25 a las 03:12;27.8 km/h  del 165°(SSE) el 25 a las 06:23
26;Mayo;2018;16.1°C;74%;10.9°C;1012.2 hPa;0.7 km/h;2.0 km/h;248° (OSO);48.2 mm;294.8 mm;0.0 mm el 26 a las 23:59;22.1°C el 26 a las 18:15;11.4°C el 26 a las 06:16;95% el 26 a las 08:46;46% el 26 a las 18:18;1013.2 hPa el 26 a las 11:10;1011.3 hPa el 26 a las 21:46;11.1 km/h el 26 a las 14:52;20.4 km/h  del 164°(SSE) el 26 a las 14:43
27;Mayo;2018;17.1°C;69%;10.9°C;1011.6 hPa;1.5 km/h;3.6 km/h;228° (SO);48.2 mm;294.8 mm;0.0 mm el 27 a las 23:59;24.5°C el 27 a las 17:40;10.8°C el 27 a las 04:57;92% el 27 a las 05:44;40% el 27 a las 16:28;1013.1 hPa el 27 a las 10:59;1009.4 hPa el 27 a las 17:19;14.8 km/h el 27 a las 18:47;29.6 km/h  del 278°(O) el 27 a las 18:05
28;Mayo;2018;15.5°C;85%;12.8°C;1011.4 hPa;0.3 km/h;1.2 km/h;302° (ONO);58.0 mm;304.6 mm;0.4 mm el 28 a las 19:19;20.9°C el 28 a las 16:16;13.1°C el 28 a las 23:59;94% el 28 a las 23:59;60% el 28 a las 16:22;1013.0 hPa el 28 a las 23:19;1010.1 hPa el 28 a las 17:04;7.4 km/h el 28 a las 18:23;16.7 km/h  del 149°(SSE) el 28 a las 18:23
29;Mayo;2018;14.5°C;86%;12.1°C;1012.4 hPa;1.0 km/h;2.2 km/h;289° (ONO);58.4 mm;305.0 mm;0.2 mm el 29 a las 18:59;19.1°C el 29 a las 12:35;11.9°C el 29 a las 02:01;96% el 29 a las 09:49;67% el 29 a las 16:59;1013.3 hPa el 29 a las 01:43;1010.9 hPa el 29 a las 19:32;14.8 km/h el 29 a las 14:36;31.5 km/h  del 286°(ONO) el 29 a las 14:33
30;Mayo;2018;14.9°C;82%;11.6°C;1012.7 hPa;0.5 km/h;2.2 km/h;209° (SSO);58.8 mm;305.4 mm;0.2 mm el 30 a las 21:07;20.3°C el 30 a las 19:36;11.2°C el 30 a las 08:08;94% el 30 a las 09:04;56% el 30 a las 19:40;1014.9 hPa el 30 a las 23:25;1011.3 hPa el 30 a las 06:06;11.1 km/h el 30 a las 15:03;20.4 km/h  del 149°(SSE) el 30 a las 18:47
1;Agosto;2018;27.9°C;36%;10.6°C;1012.3 hPa;0.3 km/h;1.2 km/h;239° (OSO);0.0 mm;0.0 mm;0.0 mm el 01 a las 00:00;37.0°C el 01 a las 19:30;18.8°C el 01 a las 08:06;57% el 01 a las 08:42;18% el 01 a las 20:12;1013.9 hPa el 01 a las 12:13;1011.1 hPa el 01 a las 20:33;7.4 km/h el 01 a las 18:33;18.5 km/h  del 169°(S) el 01 a las 16:30
2;Agosto;2018;29.5°C;34%;11.0°C;1013.5 hPa;0.4 km/h;1.7 km/h;139° (SE);0.0 mm;0.0 mm;0.0 mm el 02 a las 23:59;38.3°C el 02 a las 19:27;19.3°C el 02 a las 07:37;55% el 02 a las 08:05;18% el 02 a las 19:07;1015.4 hPa el 02 a las 10:18;1011.6 hPa el 02 a las 19:55;9.3 km/h el 02 a las 16:38;16.7 km/h  del 167°(SSE) el 02 a las 16:38
